n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
20	20	0	0	1	0	0.75	0.5	0.5	0.5	0.75	0.75	1	1	1	1	1	0.75	0.75	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
40	20	0	0	1	0	0.5	0.5	0.666666666666667	0.5	1	0.5	1	0.666666666666667	1	1	1	0.666666666666667	0.666666666666667	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0
80	20	0	0	1	0	0.4	0.4	0.6	0.4	1	0.4	1	1	1	1	1	1	1	1	1	1	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.2	0.2
160	20	0	0	1	0.166666666666667	0.5	0.5	0.833333333333333	0.333333333333333	1	0.333333333333333	1	0.833333333333333	1	1	1	0.833333333333333	0.833333333333333	1	0.833333333333333	1	0.166666666666667	0.5	0.166666666666667	0.5	0.333333333333333	0.5	0.333333333333333	0.5	0.166666666666667	0.333333333333333
320	20	0	0	1	0	0.75	0.5	1	0.25	1	0.5	1	1	1	1	1	1	1	1	1	1	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0.5
20	40	0	0	1	0	0.25	0.75	0	0	0	1	1	1	1	1	1	0.25	0.5	1	1	1	0.75	0.25	0.75	0.75	0.75	0.25	0.75	0.25	0.75	0
40	40	0	0	1	0	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	1	1	1	1	1	1	1	1	1	1	1	1	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0
80	40	0	0	1	0	0.2	0.4	0.6	0.4	1	0.4	1	1	1	1	1	0.8	0.8	1	1	1	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.2	0.2
160	40	0	0	1	0	0.5	0.666666666666667	1	0.666666666666667	1	0.666666666666667	1	1	1	1	1	1	1	1	1	1	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.5	0.166666666666667
320	40	0	0	1	0	0.5	0.5	1	0.5	1	0.5	1	1	1	1	1	1	1	1	1	1	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0
20	80	0	0	1	0.25	0	0.5	0	0	0	1	0.25	1	0.25	0.75	1	0	0	0.25	1	1	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0
40	80	0	0	1	0	0.166666666666667	0.333333333333333	0.166666666666667	0.333333333333333	0.333333333333333	1	1	1	1	1	1	0.333333333333333	0.333333333333333	1	1	1	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0
80	80	0	0	1	0	0.4	0.6	0.6	0.6	0.6	0.8	1	1	1	1	1	0.6	0.6	1	1	1	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0
160	80	0	0	1	0.166666666666667	0	0	0.333333333333333	0	0.833333333333333	0.166666666666667	1	0.5	0.666666666666667	1	1	0.5	0.5	1	0.833333333333333	1	0	0	0	0	0	0	0	0	0	0
320	80	0	0	1	0	0.25	0.25	0.5	0.25	1	0.25	1	0.75	1	1	1	0.75	0.75	1	1	1	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25
