near	d1	n2	fpr	fnr
0.1	0.1	50	0.037343136861895	0.932441687392195
0.1	0.1	100	0.045422964507497	0.89351334659879
0.1	0.1	150	0.0529468317918235	0.856149495623238
0.1	0.1	200	0.059654496946545	0.822442321214391
0.1	0.1	250	0.0655959017215442	0.792358791422468
0.1	0.1	300	0.0722577665315047	0.7644503654909
0.1	0.1	350	0.0799523388921761	0.738624298459274
0.1	0.1	400	0.0883648916862411	0.714788368196986
0.1	0.1	450	0.0964206796954968	0.691346262651003
0.1	0.1	500	0.103670319267517	0.666882261830313
0.1	0.2	50	0.037343136861895	0.814128309282244
0.1	0.2	100	0.045422964507497	0.70818459838153
0.1	0.2	150	0.0529468317918235	0.609234310413865
0.1	0.2	200	0.059654496946545	0.522772329276169
0.1	0.2	250	0.0655959017215442	0.449454618044351
0.1	0.2	300	0.0722577665315047	0.388187067249288
0.1	0.2	350	0.0799523388921761	0.337790739317671
0.1	0.2	400	0.0883648916862411	0.296227241915442
0.1	0.2	450	0.0964206796954968	0.260980986875822
0.1	0.2	500	0.103670319267517	0.229312200677315
0.1	0.3	50	0.037343136861895	0.623297439463976
0.1	0.3	100	0.045422964507497	0.465032918224858
0.1	0.3	150	0.0529468317918235	0.325204142993118
0.1	0.3	200	0.059654496946545	0.217050328214048
0.1	0.3	250	0.0655959017215442	0.142352661720682
0.1	0.3	300	0.0722577665315047	0.095058963399399
0.1	0.3	350	0.0799523388921761	0.0668011501452001
0.1	0.3	400	0.0883648916862411	0.0494604498588268
0.1	0.3	450	0.0964206796954968	0.0373823945189142
0.1	0.3	500	0.103670319267517	0.0274496313502672
0.1	0.4	50	0.037343136861895	0.408979230089704
0.1	0.4	100	0.045422964507497	0.261650371877619
0.1	0.4	150	0.0529468317918235	0.142381676052283
0.1	0.4	200	0.059654496946545	0.0631465348350942
0.1	0.4	250	0.0655959017215442	0.0201895661494643
0.1	0.4	300	0.0722577665315047	0.002029348504123
0.1	0.4	350	0.0799523388921761	0
0.1	0.4	400	0.0883648916862411	0
0.1	0.4	450	0.0964206796954968	0.000933509894621126
0.1	0.4	500	0.103670319267517	0.00370577573311692
0.1	0.5	50	0.037343136861895	0.230756363551555
0.1	0.5	100	0.045422964507497	0.131345554720671
0.1	0.5	150	0.0529468317918235	0.056423025979336
0.1	0.5	200	0.059654496946545	0.0130539454499593
0.1	0.5	250	0.0655959017215442	0
0.1	0.5	300	0.0722577665315047	0
0.1	0.5	350	0.0799523388921761	0
0.1	0.5	400	0.0883648916862411	0
0.1	0.5	450	0.0964206796954968	0
0.1	0.5	500	0.103670319267517	0.00237679114294322
0.1	0.6	50	0.037343136861895	0.11839534879853
0.1	0.6	100	0.045422964507497	0.0630909451643149
0.1	0.6	150	0.0529468317918235	0.0232998699876754
0.1	0.6	200	0.059654496946545	0.00209770479859421
0.1	0.6	250	0.0655959017215442	0
0.1	0.6	300	0.0722577665315047	0
0.1	0.6	350	0.0799523388921761	0
0.1	0.6	400	0.0883648916862411	0
0.1	0.6	450	0.0964206796954968	0
0.1	0.6	500	0.103670319267517	0.0012246674823829
0.1	0.7	50	0.037343136861895	0.0510735022378121
0.1	0.7	100	0.045422964507497	0.0261874094381798
0.1	0.7	150	0.0529468317918235	0.0088029981199731
0.1	0.7	200	0.059654496946545	0
0.1	0.7	250	0.0655959017215442	0
0.1	0.7	300	0.0722577665315047	0
0.1	0.7	350	0.0799523388921761	0
0.1	0.7	400	0.0883648916862411	0
0.1	0.7	450	0.0964206796954968	0
0.1	0.7	500	0.103670319267517	0.000472428928740719
0.1	0.8	50	0.037343136861895	0.0187565180091436
0.1	0.8	100	0.045422964507497	0.00949856317224567
0.1	0.8	150	0.0529468317918235	0.00309665189737057
0.1	0.8	200	0.059654496946545	0
0.1	0.8	250	0.0655959017215442	0
0.1	0.8	300	0.0722577665315047	0
0.1	0.8	350	0.0799523388921761	0
0.1	0.8	400	0.0883648916862411	0
0.1	0.8	450	0.0964206796954968	0
0.1	0.8	500	0.103670319267517	0.000177250746394734
0.1	0.9	50	0.037343136861895	0.00604153341187188
0.1	0.9	100	0.045422964507497	0.00304635249805226
0.1	0.9	150	0.0529468317918235	0.000981981594436351
0.1	0.9	200	0.059654496946545	0
0.1	0.9	250	0.0655959017215442	0
0.1	0.9	300	0.0722577665315047	0
0.1	0.9	350	0.0799523388921761	0
0.1	0.9	400	0.0883648916862411	0
0.1	0.9	450	0.0964206796954968	0
0.1	0.9	500	0.103670319267517	5.75405434930095e-05
0.1	1	50	0.037343136861895	0.00244662838761237
0.1	1	100	0.045422964507497	0.00123190899455887
0.1	1	150	0.0529468317918235	0.000395709525993932
0.1	1	200	0.059654496946545	0
0.1	1	250	0.0655959017215442	0
0.1	1	300	0.0722577665315047	0
0.1	1	350	0.0799523388921761	0
0.1	1	400	0.0883648916862411	0
0.1	1	450	0.0964206796954968	0
0.1	1	500	0.103670319267517	2.33520133839938e-05
0.3	0.1	50	0.0819829981423475	0.808145155309242
0.3	0.1	100	0.120945386021268	0.719292729281339
0.3	0.1	150	0.15732775132493	0.640341590013947
