n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	d1.cm	d2.cm	dm.c1	dm.c2	c1.c2	c1.cm	c2.cm	d1.p2	d2.p1	dm.p1	dm.p2	p1.p2	d1.scp2	d2.scp1	dm.scp2	dm.scp1	d1.scpd2	d2.scpd1	dm.scpd2	dm.scpd1	big1	big2
20	20	0	0	0.51219512195122	0.0142276422764228	0.282520325203252	0.51219512195122	0.296747967479675	0.341463414634146	0.483739837398374	0.504065040650406	0.51219512195122	0.51219512195122	0.51219512195122	0.51219512195122	0.51219512195122	0.483739837398374	0.497967479674797	0.51219512195122	0.51219512195122	0.51219512195122	0.51219512195122	0.51219512195122	0.51219512195122	0.51219512195122	0.51219512195122	0.453252032520325	0.51219512195122	0.51219512195122	0.50609756097561	0.00609756097560976
40	20	0	0	0.503030303030303	0.0282828282828283	0.414141414141414	0.503030303030303	0.490909090909091	0.4	0.503030303030303	0.466666666666667	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.503030303030303	0.496969696969697	0.503030303030303	0.503030303030303	0.456565656565657	0.0464646464646465
80	20	0	0	0.495164410058027	0.0270793036750484	0.444874274661509	0.495164410058027	0.495164410058027	0.41972920696325	0.495164410058027	0.462282398452611	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.495164410058027	0.493230174081238	0.495164410058027	0.495164410058027	0.495164410058027	0.344294003868472	0.150870406189555
160	20	0	0	0.482688391038697	0.0183299389002037	0.470468431771894	0.482688391038697	0.480651731160896	0.366598778004073	0.482688391038697	0.384928716904277	0.482688391038697	0.480651731160896	0.480651731160896	0.482688391038697	0.482688391038697	0.480651731160896	0.480651731160896	0.482688391038697	0.480651731160896	0.482688391038697	0.0468431771894094	0.482688391038697	0.0386965376782077	0.482688391038697	0.468431771894094	0.482688391038697	0.470468431771894	0.482688391038697	0.291242362525458	0.191446028513238
320	20	0	0	0.478584729981378	0.0204841713221601	0.478584729981378	0.478584729981378	0.472998137802607	0.294227188081937	0.478584729981378	0.31098696461825	0.478584729981378	0.474860335195531	0.476722532588454	0.478584729981378	0.476722532588454	0.474860335195531	0.472998137802607	0.478584729981378	0.476722532588454	0.478584729981378	0	0.478584729981378	0	0.478584729981378	0.458100558659218	0.478584729981378	0.458100558659218	0.478584729981378	0.208566108007449	0.270018621973929
20	40	0	0	0.502032520325203	0.0203252032520325	0.201219512195122	0.502032520325203	0.0833333333333333	0.317073170731707	0.176829268292683	0.502032520325203	0.48780487804878	0.502032520325203	0.502032520325203	0.502032520325203	0.502032520325203	0.420731707317073	0.453252032520325	0.502032520325203	0.502032520325203	0.502032520325203	0.502032520325203	0.290650406504065	0.502032520325203	0.502032520325203	0.502032520325203	0.349593495934959	0.502032520325203	0.459349593495935	0.502032520325203	0
40	40	0	0	0.515151515151515	0.0323232323232323	0.298989898989899	0.515151515151515	0.347474747474747	0.365656565656566	0.494949494949495	0.503030303030303	0.515151515151515	0.515151515151515	0.515151515151515	0.515151515151515	0.515151515151515	0.494949494949495	0.496969696969697	0.515151515151515	0.515151515151515	0.515151515151515	0.515151515151515	0.515151515151515	0.515151515151515	0.515151515151515	0.515151515151515	0.446464646464646	0.515151515151515	0.515151515151515	0.501010101010101	0.0141414141414141
80	40	0	0	0.448742746615087	0.0193423597678917	0.367504835589942	0.448742746615087	0.435203094777563	0.359767891682785	0.448742746615087	0.41779497098646	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.448742746615087	0.446808510638298	0.439071566731141	0.448742746615087	0.448742746615087	0.406189555125725	0.0425531914893617
160	40	0	0	0.496945010183299	0.0346232179226069	0.45213849287169	0.496945010183299	0.496945010183299	0.384928716904277	0.496945010183299	0.433808553971487	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.496945010183299	0.490835030549898	0.496945010183299	0.492871690427699	0.496945010183299	0.380855397148676	0.116089613034623
320	40	0	0	0.508379888268156	0.0297951582867784	0.48975791433892	0.508379888268156	0.508379888268156	0.374301675977654	0.508379888268156	0.391061452513966	0.508379888268156	0.508379888268156	0.508379888268156	0.508379888268156	0.508379888268156	0.508379888268156	0.508379888268156	0.508379888268156	0.508379888268156	0.508379888268156	0.0614525139664804	0.508379888268156	0.074487895716946	0.508379888268156	0.480446927374302	0.508379888268156	0.484171322160149	0.508379888268156	0.305400372439479	0.202979515828678
